"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6128","test4","chromium","2026-07-05","passed","2026-07-05","Checking navigation menu links","specs/test4.spec.ts","",""
"","5471","test1","firefox","2026-07-05","passed","2026-07-05","Checking registration functionality with valid data","specs/test1.spec.ts","",""
"","5150","test2","webkit","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","5445","test3","webkit","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","8520","test4","firefox","2026-07-05","passed","2026-07-05","Checking navigation menu links","specs/test4.spec.ts","",""
"","4062","test2","firefox","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","4903","test5","webkit","2026-07-05","passed","2026-07-05","Checking search functionality","specs/test5.spec.ts","",""
"","11566","test1","webkit","2026-07-05","passed","2026-07-05","Checking registration functionality with valid data","specs/test1.spec.ts","",""
"","4046","test5","firefox","2026-07-05","passed","2026-07-05","Checking search functionality","specs/test5.spec.ts","",""
"","2151","test2","chromium","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","3356","test1","chromium","2026-07-05","passed","2026-07-05","Checking registration functionality with valid data","specs/test1.spec.ts","",""
"","8495","test3","chromium","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","3598","test5","chromium","2026-07-05","passed","2026-07-05","Checking search functionality","specs/test5.spec.ts","",""
"","10364","test4","webkit","2026-07-05","passed","2026-07-05","Checking navigation menu links","specs/test4.spec.ts","",""
"","4199","test3","firefox","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
